#Sigel Knight
10001;257
10002;259,291,429,191
10003;318,153,316
10004;147
10005;329,351,328,335,350
10006;983
10008;984
10009;401,115,400
10010;102,127
10011;92,352
10013;105,49
10015;402,403
10016;404,107
10017;110
10019;528
10020;322,288
10021;86,916
10025;406,22,449,278,67,33,10,65
10026;979
10027;1704
10028;982
10030;982
10032;982
10034;982
10036;982
10038;982
10040;283
10043;781,97
10044;197

#Tyrr Warrior
10256;212,148,290,211
10257;329,328
10254;832,319,227
10251;329,216,472,210,257,330,421,422,168
10252;293,144
10255;992,993
10253;231
10286;481
10265;17,36,9,496
10294;451,298,823
10298;181,833
10292;822,109
10296;359,87,104
10297;360,88,80
10280;8,50
10263;939,345,346
10295;425
10260;280,5,921,492
10262;498,315,261,81
10273;775,794
10258;116,501,362,281,920,1,284,190
10266;48,452,497,260,477,95
10269;793
10268;423
10279;442,34,1514,443
10270;1561,121,20006,441
10271;503,286

#Othell Rogue
10543;221
10506;195
10501;216,209,257,330,432,168
10505;193,1559,334,137
10503;173,225,227,231
10502;952
10504;171,212,169,148,211,198,766
10552;329,328
10512;36,70
10539;991
10508;409,321,410,30,190
10520;111,422
10554;358
10522;102,115
10540;51
10516;998,821
10509;263
10525;4,230
10517;411
10514;122
10549;21,223,61,34
10511;344
10510;928,96,997
10526;106,2,15,12
10535;531
10541;129
10513;105,347
10532;362,453,260
10524;447,446
10528;60
10527;11

#Yul Archer
10754;169,418
10753;113,415,303,486
10752;173,171,832,227,148
10751;473,208,330
10799;466
10755;329,328
10800;481
10793;939
10777;511
10760;19,507
10792;518
10772;24,508,223
10785;933
10756;312,626,334
10769;509,101
10791;516
10776;21,622,61,129
10780;354
10801;522,122
10757;131,524
10778;2,15,489
10787;115
10762;369,105
10758;131,835
10759;131,523
10763;343,627
10783;413,414,521,313
10771;987
10770;990
10775;525
10779;99,490

#Feoh Wizard
11050;1064,1447,1336,1069
11023;1451,1235,1453,1456,1439,1159,1230,1513,1239
11003;146,466
11183;164
11184;481,1442,433
11005;832,212,228,626,285
11187;1297
11186;229
11002;227,234
11001;249,474,331,1527,1474
11004;925
11006;329,328
11185;1565,213
11064;502,1157
11048;1554,1382,1422,1167
11068;1078,1238,434,1232,1047,1338,1457
11064;337
11029;1183,1237,1455,1168,1452,1233,1458
11030;1421,1419,1423,1151,1420
11056;1381
11065;1556,1262
11094;1295,1171
11040;1454,1155,1469
11057;1417,1448,1164
11095;1156,1475
11047;1512,1341,1340,1339,1337,1263,1222
11032;1176,1296,1163,492,1174
11055;1169
11034;1438,1269,1275
11017;1342,1343,1160,1236,1234,1555,1437
11011;1288,1231,1267,1436,1265,1148
11052;1298,1072
11058;1446
11049;1440,1056
11066;1291,1289,1290
11093;837
11067;1293,1292,1294


#Wynn Summoner
11310;1299
11297;1349
11309;1301
11255;328,329
11253;146,212,229,164,213
11252;234
11251;228,141,925,330
11254;143
11306;1145
11268;783
11260;1168
11252;1206,1386
11261;1384,1385,1383
11270;1262
11303;1139
11307;1146
11298;1530
11302;1127
11288;1557
11265;1403
11269;1126
11271;1558
11308;1144
11305;1140
11304;1141

#Iss Enchanter
11505;146,466,147
11548;164
11553;191
11552;436
11555;228,1527
11503;229,227
11502;229,234
11501;832,257,141,144,474,925,330,626
11504;229,231
11549;428
11547;212
11551;329,328
11507;213
11506;211
11536;1246,455
11524;1388,1261,1062,1562,1390,269,274
11525;1078,349,267,337,336,273,365
11523;1243,1389,1283,1391,264,271
11561;402,1201,1105
11538;1208,1272,367
11562;366
11537;2,1395,15,1092
11510;70,1102,1104,927,115,504
11540;15
11560;21,223,837,61,129,1427
11558;1481,1412
11557;1358,1247
11521;1240,1535,1309,1461,1252,230
11518;1413,1363,1356
11571;1416,1306,1305
11520;1476,1253,1518,1308,1077,1242
11522;1310,1002,1519,1251,1085,1086
11519;1048,1045,1044,1501
11517;989,1036,1068,1007,1009,1006,1517,123,988,1040
11570;1229,1488,58,1553
11539;437,1097
11513;1095,1366,492,84
11559;1359,1248
11511;1099,1096,505,986
11509;939,1244,105,1245,1484,102,1209,1564,122,98
11563;1050
11514;408,1485,407,260
11529;1001,304,363,276,275
11530;1284,305,310
11532;268,266,265,364,1073,272
11566;270,196,1392,1393,1033,530,277,1032
11567;1035,1362,1415,311
11565;481,1532,1549,306,308,529,1189,1182,1548,1191,307,309
11544;1411
11545;1462
11533;1477
11546;1509

#Aeore Healer
11830;1311,1357,1355
11757;1219,1402
11789;146
11790;1353,1189
11787;212,229,227,234
11788;436,228,164,213
11751;141,330
11791;925
11778;1201,1394,1069
11772;1459,1073
11823;1240,1087
11770;1075,1273,1034
11765;1430
11821;1303,1077,1397,1242
11832;1508,1042
11819;1050,1255
11784;1016
11822;1268
11758;1418
11768;1271
11776;1359,1358,1361,1360
11825;1035,1354
11756;1218
11760;1013
11755;1217,1401
11763;1012,1409
11762;1335
11820;1059,1068,1040
11824;1259,1392,1393,1033
11814;1028
11769;1396,1206
11831;1395
11754;1531
11826;1410
11828;1553
11785;1254
11761;1428
11764;1550
